Fecha,Numero,Socio 1,Socio 2,Mes,Semana ISO
2026-03-03 01:24,50258792752,Advance Urología,Integra Cáncer Institute,2026-03,2026-W10
2026-03-03 01:50,50258792752,MEDHOS,Integra Cáncer Institute,2026-03,2026-W10
2026-03-03 18:29,50254592158,Grupo Hospitalario La Paz,Nugenesis Plastic Surgery,2026-03,2026-W10
2026-03-03 19:26,50250163252,Facultad Odontología UFM,Centro Dental,2026-03,2026-W10
2026-03-03 19:27,50250163252,VISUALIZA,Nugenesis Plastic Surgery,2026-03,2026-W10
2026-03-03 19:28,50250163252,Hospital Ángeles,Nugenesis Plastic Surgery,2026-03,2026-W10
2026-03-10 05:40,50239952529,Nugenesis Plastic Surgery,MEDHOS,2026-03,2026-W11
2026-03-12 14:54,50243940001,DENTIS,Centro Dental,2026-03,2026-W11
2026-03-12 14:54,50243940001,DENTIS,Centro Dental,2026-03,2026-W11
2026-03-12 14:56,50243940001,Ríe Genial,Centro Dental,2026-03,2026-W11
2026-03-12 19:12,50243940001,DENTIS,Centro Dental,2026-03,2026-W11
2026-03-12 19:14,50243940001,Ríe Genial,Centro Dental,2026-03,2026-W11
2026-03-19 20:37,50245659475,VISUALIZA,Advance Urología,2026-03,2026-W12
2026-03-19 20:39,50245659475,Advance Urología,VISUALIZA,2026-03,2026-W12
2026-03-19 21:02,50240593910,MEDCARE,Hospital Maranatha,2026-03,2026-W12
2026-03-19 21:03,50240593910,Hospital Centro Médico,Hospital Ángeles,2026-03,2026-W12
2026-03-19 21:10,50240593910,Hospital Centro Médico,Hospital Ángeles,2026-03,2026-W12
2026-03-19 21:10,50240593910,MEDHOS,MEDCARE,2026-03,2026-W12
2026-03-20 05:26,50239952529,VISUALIZA,Advance Urología,2026-03,2026-W12
2026-03-20 05:51,50239952529,Centro Integral de Rehabilitación REHAB,MEDHOS,2026-03,2026-W12
2026-03-20 15:59,50240593910,Hospital Centro Médico,Hospital Ángeles,2026-03,2026-W12
2026-03-20 16:00,50240593910,Hospital Centro Médico,Hospital Ángeles,2026-03,2026-W12
2026-03-20 16:08,50240593910,Hospital Centro Médico,Hospital Ángeles,2026-03,2026-W12
2026-04-16 03:57,50258792752,Hospital Ángeles,MEDHOS,2026-04,2026-W16
2026-04-16 03:57,50258792752,Hospital Ángeles,MEDHOS,2026-04,2026-W16
2026-04-16 03:57,50258792752,Hospital Ángeles,MEDHOS,2026-04,2026-W16
2026-04-16 03:59,50258792752,Centro Integral de Rehabilitación REHAB,Santa Teresita Hotel & Spa Termal,2026-04,2026-W16
2026-04-16 03:59,50258792752,Nugenesis Plastic Surgery,MEDHOS,2026-04,2026-W16
2026-05-21 19:08,50254062704,Grupo Hospitalario La Paz,VISUALIZA,2026-05,2026-W21
2026-05-21 19:12,50254062704,GrupoDent,Ríe Genial,2026-05,2026-W21
2026-05-21 19:39,50254062704,VISUALIZA,San Gregorio Hotel y Spa,2026-05,2026-W21
2026-05-31 18:14,50239952529,Hospital Herrera Llerandi,VISUALIZA,2026-05,2026-W22
2026-05-31 18:15,50239952529,Hospital Herrera Llerandi,VISUALIZA,2026-05,2026-W22
2026-05-31 18:15,50239952529,Grupo Hospitalario La Paz,Hospital Centro Médico,2026-05,2026-W22
2026-05-31 18:16,50239952529,Grupo Hospitalario La Paz,Hospital Centro Médico,2026-05,2026-W22
2026-05-31 18:16,50239952529,Hospital Herrera Llerandi,VISUALIZA,2026-05,2026-W22
2026-05-31 18:17,50239952529,Hospital Centro Médico,Hospital Herrera Llerandi,2026-05,2026-W22
2026-05-31 18:17,50239952529,Grupo Hospitalario La Paz,Hospital Centro Médico,2026-05,2026-W22
2026-05-31 18:18,50239952529,Grupo Hospitalario La Paz,Hospital Centro Médico,2026-05,2026-W22
2026-05-31 18:18,50239952529,Hospital Herrera Llerandi,VISUALIZA,2026-05,2026-W22
2026-05-31 18:19,50239952529,Grupo Hospitalario La Paz,Hospital Centro Médico,2026-05,2026-W22
2026-06-18 23:05,50237942465,Integra Cáncer Institute,MEDHOS,2026-06,2026-W25
